,customer_id,first_order,EndDate,rate,Amount,commission
3198,084a0e74918bd829d509441c2504135e,2018-04-30 13:31:00,2019-04-25 13:31:00,yearly,900,5%
20271,34417388de13fbcd12cfcbd9d1b8dfbd,2018-01-26 16:49:12,2018-03-27 16:49:12,monthly,150,5%
14326,24d27d857775354d2ef3c83e95be2935,2017-01-19 09:12:51,2017-03-20 09:12:51,monthly,150,5%
82627,d40d86343d1aa6a8a3ce63ab5a19d6b4,2018-02-20 00:37:53,2019-02-15 00:37:53,yearly,900,5%
22387,399d1e628c48b7c3b6389098be566cfd,2017-07-26 10:47:53,2017-09-24 10:47:53,monthly,150,5%
82624,d40b1c3fb65620fac483a0fa38af1681,2017-02-20 04:06:23,2017-08-19 04:06:23,half-yearly,450,5%
27950,480ab762bbcc6642337375d34f848df9,2018-02-28 20:04:56,2018-08-27 20:04:56,half-yearly,450,5%
73222,bbc956eb1bf346bab4697506b044c95c,2018-06-21 11:02:00,2018-08-20 11:02:00,monthly,150,5%
52069,864b6e5515568a915e535a341c973ec8,2017-10-04 15:28:08,2018-04-02 15:28:08,half-yearly,450,5%
55988,9065a96b91a08c08755c4ea2618884f2,2018-07-11 12:12:00,2019-07-06 12:12:00,yearly,900,5%
71964,b89ea39218763f0521b7bbae37e90aa8,2018-02-16 23:38:44,2018-08-15 23:38:44,half-yearly,450,5%
20156,33f307d7f53585400ed7821b15a43132,2018-06-12 06:47:00,2019-06-07 06:47:00,yearly,900,5%
81832,d2038fc66997336ea2fb9a7870fc279c,2017-10-20 18:57:51,2017-12-19 18:57:51,monthly,150,5%
13553,22d272b91aefe41f2a449372151f629e,2017-09-15 19:13:39,2017-11-14 19:13:39,monthly,150,5%
28666,49e64271fb8eeb19851dc7e850e92204,2017-11-07 18:57:39,2018-05-06 18:57:39,half-yearly,450,5%
64743,a6a0e6b3107ef49975c1b1871402dd03,2018-07-10 17:10:00,2019-07-05 17:10:00,yearly,900,5%
49229,7ee04c773f064561c7f50cba4cda809d,2018-06-29 14:47:00,2019-06-24 14:47:00,yearly,900,5%
81004,cfec05b8c098a72ba2db50395843abdb,2018-08-07 15:30:00,2019-02-03 15:30:00,half-yearly,450,5%
21285,36ad893b6f3eda60c48afadbdff160d1,2017-12-12 21:03:31,2018-06-10 21:03:31,half-yearly,450,5%
33040,55497d7895383e1d82b5531d97b92d50,2017-03-20 10:14:22,2017-09-16 10:14:22,half-yearly,450,5%
81106,d0244ea97de1322c239a5c65551176e3,2017-06-12 09:33:26,2017-08-11 09:33:26,monthly,150,5%
