id,was_married,children,salary,sex,age,profession,home_cost,drive_info,happyness
0,1,4.0,45032.4,1,82.0,Engineer,10036744.144810405,,0.7274992694198597
1,1,2.0,202004.64,1,32.0,Doctor,10140513.669981455,0.0,0.3832343974516152
2,1,6.0,213158.75,1,14.0,Entertainment,10433180.965577615,,0.43214172149043373
3,0,1.0,185692.78,0,10.0,Lawyer,10042985.31329015,,0.3779873464716904
4,1,9.0,132067.32,1,99.0,Artist,10219081.58669495,,0.6575794767201564
5,1,3.0,999.61,0,21.0,Homemaker,10016535.306500807,1.0,0.32680058981599913
6,1,3.0,999.45,0,21.0,Homemaker,9980108.144758623,,0.3876118370855484
7,1,2.0,201589.78,1,32.0,Doctor,10226684.489521174,1.0,0.40429030655218884
8,1,1.0,12912.69,1,9.0,Marketing,10173613.021271689,1.0,0.33585808366465525
9,1,9.0,132369.86,1,100.0,Artist,10184430.87626286,,0.6330373896963778
10,1,9.0,131822.41,1,100.0,Artist,10376836.589678586,1.0,0.7762196630455057
11,1,6.0,215179.2,1,14.0,Entertainment,10332529.881403985,,0.5314293320339288
12,0,1.0,185944.6,0,11.0,Lawyer,10292128.124890065,,0.10380046293277854
13,1,0.0,2031.73,0,17.0,Healthcare,10199714.224865196,,0.38688159758433266
14,1,0.0,35224.64,1,3.0,Executive,10081419.49743887,0.0,0.4082856994011407
15,1,9.0,132544.95,1,99.0,Artist,10295396.483619208,,0.44661377889748327
16,1,0.0,2031.2,0,18.0,Healthcare,10124013.385915646,1.0,0.3355401166838383
17,1,0.0,34980.8,1,3.0,Executive,10047476.85238399,1.0,0.34844920626939796
18,1,9.0,132526.39,1,99.0,Artist,10088373.162625644,1.0,0.4771514628055623
19,1,1.0,12430.25,1,9.0,Marketing,10122364.017617684,,0.451636299014319
20,1,4.0,45141.94,1,82.0,Engineer,10256228.33931408,,0.3625748135498443
21,1,3.0,999.41,0,21.0,Homemaker,10116704.972444888,0.0,0.43225136160338523
22,0,1.0,185359.14,0,10.0,Lawyer,10193135.010884875,1.0,0.2460461437391349
23,1,3.0,1000.8,0,20.0,Homemaker,10051564.784645809,0.0,0.3921457044196016
24,0,1.0,185177.64,0,10.0,Lawyer,10194051.957358938,1.0,0.3583181468790449
25,1,6.0,216965.52,1,13.0,Entertainment,10215899.960679583,,0.34412378081157263
26,1,6.0,213013.95,1,13.0,Entertainment,10230947.532300057,0.0,0.33239084282973164
27,1,3.0,1000.18,0,21.0,Homemaker,10115635.44239498,,0.41397402895215224
28,1,2.0,202008.75,1,32.0,Doctor,10316166.952248294,1.0,0.6430673093173462
29,1,6.0,216046.52,1,13.0,Entertainment,10226017.960478716,1.0,0.4863863371062497
30,1,6.0,215595.27,1,13.0,Entertainment,10224701.24302113,,0.4905514495120637
31,1,0.0,1987.46,0,17.0,Healthcare,10168633.151457714,,0.4780693123693018
32,1,0.0,2051.5,0,17.0,Healthcare,10133472.70377746,1.0,0.3773199982007424
33,1,0.0,2078.48,0,17.0,Healthcare,10235163.817886297,1.0,0.3374541184190474
34,1,4.0,45406.78,1,81.0,Engineer,10152152.821734676,1.0,0.6089378499488296
35,0,2.0,201987.53,1,32.0,Doctor,10234989.380244672,1.0,0.39924327579063995
36,1,3.0,1000.78,0,21.0,Homemaker,10176757.983331908,,0.6826212818978085
37,0,1.0,186609.69,0,11.0,Lawyer,10231725.823327942,0.0,0.3426287459729119
38,1,1.0,12716.14,1,9.0,Marketing,10089234.232459892,0.0,0.4910906783645338
39,1,4.0,45087.3,1,82.0,Engineer,10051340.303437635,1.0,0.6602796932469411
40,1,0.0,2018.98,0,17.0,Healthcare,10071270.072042877,,0.3401383091478565
41,1,2.0,201886.81,1,32.0,Doctor,10162726.811061878,,0.45727515810463737
42,1,0.0,2032.58,0,17.0,Healthcare,10070502.3258332,,0.42592113042584584
43,1,3.0,1002.57,0,21.0,Homemaker,10069308.789836118,,0.4937358412453525
44,1,0.0,2017.99,0,17.0,Healthcare,10180547.495851366,,0.3374930028840835
45,1,3.0,998.47,0,21.0,Homemaker,10053408.469589818,,0.5861427424257052
46,0,2.0,202080.08,1,32.0,Doctor,10299740.875915129,1.0,0.471249497041096
47,0,1.0,187001.73,0,10.0,Lawyer,10322609.446500808,1.0,0.3219107871350112
